Community,Contract-Waiting_Drafting,Contract-Waiting_Eng_or_Plat,Contract-Waiting_Permit,Permit&Hold-Waiting_Drafting,Permit&Hold-Waiting_Eng_or_Plat,Permit&Hold-Waiting_Permit,Community Totals
Midtown,0,0,0,0,0,1,1
Readers Branch,0,0,0,7,5,1,13
The Preserve TH,0,0,0,0,0,9,9
West Broad Village Eastern Edge,0,0,0,0,2,0,2
Foushee,0,0,0,0,0,0,0
Sweetspire,0,0,0,1,5,0,6
Womack,0,0,0,1,2,0,3
Brunswick,0,0,0,3,4,0,7
Readers Branch TH,0,0,0,0,0,0,0
The Preserve,0,0,0,4,0,0,4
The Meadows,0,0,0,1,0,0,1
Parke @ Westport,0,0,0,0,2,0,2
