Community,Contract-Waiting_Drafting,Contract-Waiting_Eng_or_Plat,Contract-Waiting_Permit,Permit&Hold-Waiting_Drafting,Permit&Hold-Waiting_Eng_or_Plat,Permit&Hold-Waiting_Permit,Community Totals
Readers Branch,1,0,0,5,12,11,29
Harpers Mill,0,0,0,1,2,0,3
Parkside Village,0,0,0,0,4,0,4
Lauradell,0,0,0,1,2,2,5
McRea & Lacy,0,0,0,0,1,0,1
McRae & Lacy,0,0,0,0,3,0,3
Cypress Creek,0,0,0,0,1,0,1
The Parke @ Cypress Creek,0,0,0,2,1,2,5
Stags Trail,0,0,0,0,3,0,3
The Preserve,0,0,0,1,5,1,7
The Meadows,0,0,0,1,1,2,4
Row at Westhampton,0,0,0,0,0,0,0
The Blufftons,0,0,0,1,0,1,2
Givens Farm,0,0,0,0,0,3,3
GreenGate Condos,0,0,0,1,0,0,1
Maggie Walker Trust,0,0,0,0,2,0,2
Midtown,0,0,0,0,1,0,1
Parke @ Westport,0,0,0,0,0,1,1
WBV EE,0,0,0,3,0,0,3
Settler's Ridge,0,0,0,0,1,0,1
The Preserve TH,0,0,0,3,1,0,4
Womack,0,0,0,0,0,1,1
GreenGate,0,0,0,2,0,1,3
